Query_Doc@Source_Doc,Count of score
Verge.docx@ALQO.docx,1
ZVCHAIN.docx@Hydra.docx,1
Swarm.docx@Bottos.docx,1
ZVCHAIN.docx@InternetNodeToken.docx,1
Swarm.docx@StakeNet.docx,1
ZVCHAIN.docx@Origo.docx,1
Viacoin.docx@DeepOnion.docx,1
ZVCHAIN.docx@Yee.docx,1
Sweetbridge.docx@LIFE.docx,1
Skycoin.docx@Hshare.docx,1
Vidy.docx@LIFE.docx,1
StakeNet.docx@Nebulas.docx,1
Vidy.docx@Nebulas.docx,1
TimeNewBank.docx@Lunyr.docx,1
Vidy.docx@SmartMesh.docx,1
TimeNewBank.docx@Primas.docx,1
SwftCoin.docx@Ambrosus.docx,1
TimeNewBank.docx@Skycoin.docx,1
Waltonchain.docx@B2BX.docx,1
TimeNewBank.docx@SwftCoin.docx,1
Waltonchain.docx@Burst.docx,1
TimeNewBank.docx@SwissBorg.docx,1
Waltonchain.docx@DMarket.docx,1
TimeNewBank.docx@UNUS_SED_LEO.docx,1
Waltonchain.docx@GoWithMi.docx,1
TokenCard.docx@MovieBloc.docx,1
Waltonchain.docx@IoTeX.docx,1
TokenCard.docx@Status.docx,1
Waltonchain.docx@MAP.docx,1
Tokenomy.docx@0x.docx,1
Waltonchain.docx@NPCoin.docx,1
Tokenomy.docx@apM_Coin.docx,1
Waltonchain.docx@Propy.docx,1
Tokenomy.docx@Bancor.docx,1
Waltonchain.docx@Streamr.docx,1
Sport_and_Leisure.docx@UNetwork.docx,1
Waltonchain.docx@truebit.docx,1
Tokenomy.docx@Crypterium.docx,1
WaykiChain.docx@B2BX.docx,1
Tokenomy.docx@Datum.docx,1
WaykiChain.docx@Nework.docx,1
Tokenomy.docx@InternetNodeToken.docx,1
WePower.docx@Datum.docx,1
Tokenomy.docx@Kin.docx,1
SwftCoin.docx@Blocktix.docx,1
StakeNet.docx@NPCoin.docx,1
WePower.docx@MediBloc.docx,1
StakeNet.docx@PACcoin.docx,1
XinFin.docx@DeepOnion.docx,1
Tokenomy.docx@RealTract.docx,1
Yee.docx@LINA.docx,1
TomoChain.docx@0x.docx,1
SmartMesh.docx@Centrality.docx,1
TomoChain.docx@BABB.docx,1
Zebi.docx@Alphacat.docx,1
TomoChain.docx@BOSAGORA.docx,1
Zebi.docx@Bodhi.docx,1
StakeNet.docx@BTUProtocol.docx,1
SwftCoin.docx@Hifi_Finance.docx,1
TomoChain.docx@Delphy.docx,1
Zebi.docx@Levolution.docx,1
TomoChain.docx@Edgeless.docx,1
SwftCoin.docx@Icon.docx,1
TomoChain.docx@InternetNodeToken.docx,1
StakeNet.docx@QASH.docx,1
Zilliqa.docx@PLATINCOIN.docx,1
TimeNewBank.docx@AcuteAngleCould.docx,1
ZVCHAIN.docx@B2BX.docx,1
TimeNewBank.docx@ChainGames.docx,1
ZVCHAIN.docx@GXChain.docx,1
TimeNewBank.docx@Cortex.docx,1
ZVCHAIN.docx@Ink.docx,1
TimeNewBank.docx@Dimecoin.docx,1
ZVCHAIN.docx@MultiVAC.docx,1
TimeNewBank.docx@Hifi_Finance.docx,1
ZVCHAIN.docx@PACcoin.docx,1
TimeNewBank.docx@Hshare.docx,1
TimeNewBank.docx@HTMLCOIN.docx,1
TimeNewBank.docx@IHTRealEstateProtocol.docx,1
LiquidApps.docx@apM_Coin.docx,1
RealTract.docx@ULTRAIN.docx,1
Mirror.docx@Nework.docx,1
LiquidApps.docx@Zebi.docx,1
Shyft.docx@Grid+.docx,1
Nebulas.docx@OST.docx,1
QuarkChain.docx@Eximchain.docx,1
Nebulas.docx@Skycoin.docx,1
Ravencoin.docx@Burst.docx,1
Nebulas.docx@Steem.docx,1
Refereum.docx@Skycoin.docx,1
NKN.docx@OriginTrail.docx,1
Nebulas.docx@DavinciCoin.docx,1
NPCoin.docx@BABB.docx,1
QuarkChain.docx@Centrality.docx,1
NPCoin.docx@Bancor.docx,1
Mirror.docx@Blocktix.docx,1
NPCoin.docx@DeepOnion.docx,1
QunQun.docx@Envion.docx,1
NPCoin.docx@NoLimitCoin.docx,1
LiquidApps.docx@INS.docx,1
NPCoin.docx@Peercoin.docx,1
Refereum.docx@ChainGames.docx,1
NPCoin.docx@PLATINCOIN.docx,1
RocketPool.docx@Traxia.docx,1
NPCoin.docx@RealTract.docx,1
Silverway.docx@Centrality.docx,1
NPCoin.docx@XinFin.docx,1
Loopring.docx@Polymath.docx,1
NULS.docx@Neblio.docx,1
QuarkChain.docx@apM_Coin.docx,1
NULS.docx@Peerplays.docx,1
QuarkChain.docx@Dimecoin.docx,1
NULS.docx@RealTract.docx,1
QuarkChain.docx@INS.docx,1
Nxt.docx@Burst.docx,1
QuarkChain.docx@Shyft.docx,1
Nxt.docx@Credits.docx,1
LiquidApps.docx@ChainGames.docx,1
Nxt.docx@Velas.docx,1
LiquidApps.docx@Gifto.docx,1
Nxt.docx@XinFin.docx,1
RealTract.docx@Bankex.docx,1
Omisego.docx@Hifi_Finance.docx,1
RealTract.docx@LuckySeven.docx,1
Orchid.docx@Bulwark.docx,1
RedFOX.docx@INS.docx,1
Orchid.docx@PoseidonNetwork.docx,1
Refereum.docx@Kin.docx,1
OriginTrail.docx@Peerplays.docx,1
Remme.docx@Lympo.docx,1
Origo.docx@Cartesi.docx,1
SelfSell.docx@Delphy.docx,1
Origo.docx@Celer.docx,1
shyft-network-inc-whitepaper_v4.1.docx@Grid+.docx,1
Origo.docx@CelerNetwork-Whitepaper.docx,1
Nebulas.docx@Centrality.docx,1
Origo.docx@Hshare.docx,1
Silverway.docx@QuarkChain.docx,1
Origo.docx@SuperZero.docx,1
Nebulas.docx@LIFE.docx,1
Origo.docx@Zilliqa.docx,1
Loki.docx@ColossusXT.docx,1
OST.docx@AtlasProtocol.docx,1
LiquidApps.docx@Bodhi.docx,1
Paxos.docx@Burst.docx,1
QuarkChain.docx@Cook-Whitepaper-3.docx,1
Paxos.docx@Credits.docx,1
QuarkChain.docx@Elastic.docx,1
Paxos.docx@NAGA.docx,1
QuarkChain.docx@Gifto.docx,1
Paxos.docx@RealTract.docx,1
QuarkChain.docx@Kin.docx,1
PayPie.docx@Ambrosus.docx,1
QuarkChain.docx@Nework.docx,1
PayPie.docx@Burst.docx,1
QuarkChain.docx@UNUS_SED_LEO.docx,1
Lunyr.docx@Dimecoin.docx,1
MultiVAC.docx@Egretia.docx,1
PayPie.docx@Fusion.docx,1
QunQun.docx@CertifiedDiamondNetwork.docx,1
Lunyr.docx@Hifi_Finance.docx,1
QunQun.docx@INS.docx,1
Lunyr.docx@Hshare.docx,1
QunQun.docx@UNetwork.docx,1
PayPie.docx@SunContract.docx,1
RealTract.docx@Ankr.docx,1
PayPie.docx@Traxia.docx,1
RealTract.docx@Chronobank.docx,1
PayPie.docx@Zebi.docx,1
RealTract.docx@DeepOnion.docx,1
Peercoin.docx@Syscoin.docx,1
RealTract.docx@SunContract.docx,1
pEOS.docx@ApolloCurrency.docx,1
NAGA.docx@Grid+.docx,1
Perlin.docx@Syscoin.docx,1
RedFOX.docx@Lunyr.docx,1
Pillar.docx@B2BX.docx,1
Refereum.docx@Dimecoin.docx,1
Pillar.docx@Delphy.docx,1
Refereum.docx@Shyft.docx,1
Pillar.docx@LINA.docx,1
Refereum.docx@Zebi.docx,1
Pillar.docx@Refereum.docx,1
RequestNetwork.docx@DeepOnion.docx,1
PIVX.docx@ALQO.docx,1
SALT.docx@Skycoin.docx,1
PIVX.docx@ColossusXT.docx,1
Shyft.docx@AtlasProtocol.docx,1
LIFE.docx@Hshare.docx,1
shyft-network-inc-whitepaper_v4.1.docx@AtlasProtocol.docx,1
PLATINCOIN.docx@GXChain.docx,1
Silverway.docx@AllSports.docx,1
PLATINCOIN.docx@Lympo.docx,1
Loki.docx@Zcash.docx,1
PlayFuel.docx@LuckySeven.docx,1
Silverway.docx@EXMR_FDN.docx,1
PolkaDotPaper.docx@Grid+.docx,1
Nebulas.docx@DeepOnion.docx,1
PolkaDotPaper.docx@Gulden.docx,1
Skale.docx@Burst.docx,1
PolkaDotPaper.docx@InternetNodeToken.docx,1
Skale.docx@Traxia.docx,1
Lunyr.docx@INS.docx,1
Skycoin.docx@Hifi_Finance.docx,1
Polymath.docx@XinFin.docx,1
QuantumResistantLedger.docx@truebit.docx,1
Populous.docx@SunContract.docx,1
LiquidApps.docx@BitbookGambling.docx,1
Populous.docx@SuperZero.docx,1
QuarkChain.docx@BitbookGambling.docx,1
Levolution.docx@Hshare.docx,1
MedicCoin.docx@Lympo.docx,1
PoseidonNetwork.docx@GXChain.docx,1
MedicCoin.docx@Nework.docx,1
PoseidonNetwork.docx@LINA.docx,1
MedicCoin.docx@PLATINCOIN.docx,1
PoseidonNetwork.docx@truebit.docx,1
MedicCoin.docx@RealTract.docx,1
PowerLedger.docx@Ankr.docx,1
QuarkChain.docx@Envion.docx,1
PowerLedger.docx@BABB.docx,1
QuarkChain.docx@EXMR_FDN.docx,1
PowerLedger.docx@Bottos.docx,1
QuarkChain.docx@Grid+.docx,1
PowerLedger.docx@Burst.docx,1
QuarkChain.docx@IoTeX.docx,1
PowerLedger.docx@Celer.docx,1
QuarkChain.docx@Levolution.docx,1
PowerLedger.docx@CelerNetwork-Whitepaper.docx,1
QuarkChain.docx@Neblio.docx,1
PowerLedger.docx@Centrality.docx,1
QuarkChain.docx@PACcoin.docx,1
PowerLedger.docx@DeepOnion.docx,1
QuarkChain.docx@shyft-network-inc-whitepaper_v4.1.docx,1
Lunyr.docx@Primas.docx,1
QuarkChain.docx@WaykiChain.docx,1
PowerLedger.docx@Fusion.docx,1
Mirror.docx@ULTRAIN.docx,1
PowerLedger.docx@GXChain.docx,1
QunQun.docx@AgaveCoin.docx,1
Litex.docx@Alphacat.docx,1
LiquidApps.docx@Cook-Whitepaper-3.docx,1
PowerLedger.docx@LuckySeven.docx,1
MultiVAC.docx@PACcoin.docx,1
PowerLedger.docx@MyBit.docx,1
QunQun.docx@EXMR_FDN.docx,1
Lunyr.docx@Skycoin.docx,1
QunQun.docx@Nework.docx,1
Levolution.docx@Gifto.docx,1
QunQun.docx@Silverway.docx,1
PowerLedger.docx@WaykiChain.docx,1
QunQun.docx@UNUS_SED_LEO.docx,1
PowerLedger.docx@XinFin.docx,1
Ravencoin.docx@XinFin.docx,1
Primas.docx@Bottos.docx,1
RealTract.docx@BABB.docx,1
Primas.docx@ChainGames.docx,1
MultiVAC.docx@Zilliqa.docx,1
Primas.docx@Covesting.docx,1
LiquidApps.docx@Hshare.docx,1
Primas.docx@Dimecoin.docx,1
RealTract.docx@Cryptonex.docx,1
Primas.docx@Hifi_Finance.docx,1
MyBit.docx@INS.docx,1
